book_name,grade,toc_page,lecture_no,title,category,related_lecture,track,source_text
竞赛数学导引 六年级,6,13,9,立体几何,几何问题,9,高思导引,第9讲 | 立体几何 | （几何问题第9讲）· | 54（答205)
竞赛数学导引 六年级,6,13,10,几何综合一,几何问题,10,高思导引,第10讲 | 几何综合一 | （几何问题第10讲） | 61(答213)
竞赛数学导引 六年级,6,13,11,几何综合二,几何问题,11,高思导引,第11讲 | 几何综合二 | （几何问题第11讲） | 68(答221) | 目录 | 1
竞赛数学导引 六年级,6,14,12,计数综合三,计数问题,9,高思导引,第12讲 | 计数综合三 | （计数问题第9讲）..…......….75（答226）
竞赛数学导引 六年级,6,14,13,计数综合四,计数问题,10,高思导引,第13讲 | 计数综合四 | （计数问题第10讲） | ............... | 80（答233）
竞赛数学导引 六年级,6,14,14,行程问题六,,,高思导引,第14讲 | 行程问题六 | （应用题第26讲） | 86(答239)
竞赛数学导引 六年级,6,14,15,数论综合一,数论问题,5,高思导引,第15讲 | 数论综合一 | （数论问题第5讲）. | 93(答246)
竞赛数学导引 六年级,6,14,16,数字谜综合二,数字谜问题,11,高思导引,第16讲 | 数字谜综合二 | (数字谜问题第11讲） | .+.......... | 99（答251)
竞赛数学导引 六年级,6,14,17,应用题综合一,,,高思导引,第17讲 | 应用题综合一 | （应用题第27讲）
竞赛数学导引 六年级,6,14,18,应用题综合二,,,高思导引,第18讲 | 应用题综合二 | （应用题第28讲） | ....... | ：114(答267)
竞赛数学导引 六年级,6,14,19,进位制与取整符号,数论问题,6,高思导引,第19讲 | 进位制与取整符号 | （数论问题第6讲）. | 121(答276)
竞赛数学导引 六年级,6,14,20,数论综合二,数论问题,7,高思导引,第20讲 | 数论综合二 | （数论问题第7讲）. | 126(答280)
竞赛数学导引 六年级,6,14,21,数论综合三,数论问题,8,高思导引,第21讲 | 数论综合三 | （数论问题第8讲）..· | ......... | ：132(答284)
竞赛数学导引 六年级,6,14,22,构造论证二,组合问题,11,高思导引,第22讲 | 构造论证二 | (组合问题第11讲） | 137(答289)
竞赛数学导引 六年级,6,14,23,概率初步,计数问题,11,高思导引,第23讲 | 概率初步 | （计数问题第11讲） | 144(答295)
竞赛数学导引 六年级,6,14,24,数学家的故事,,,高思导引,第24讲 | 数学家的故事 | 151 | 参考答案
